text,class
© 2025 Cable News Network. A Warner Bros. Discovery Company. All Rights Reserved.  CNN Sans ™ & © 2016 Cable News Network.,1
"Anthony Bourdain loved haggis. But even the late, great American chef, writer and television host recognized that Scotland’s national dish, with its “sinister sheep parts” wrapped in a shroud of mystery and half-invented history, could be a hard sell. 
    

            “Don’t let them tell you otherwise, that’s really one of life’s great pleasures,” Bourdain said on one of his gastro-curious pilgrimages to Glasgow. “There is no more unfairly reviled food on Earth than the haggis.”
    

            A mash-up of diced lung, liver and heart mixed with oatmeal, beef suet, onion and assorted spices, haggis was traditionally made by stuffing these raw ingredients into the stomach of a recently slain sheep and boiling the lot to a state of palatability.
    

Instagrammable is not the word that immediately comes to mind. In our 21st-century world, where “clean” eating and processed pap overlap, haggis can seem like an “Outlander”-style outlier from another age.
    

            Yet, by some alchemy, once cooked to its required “warm-reekin’ (steaming)” state, it adds up to much more than the sum of its modest parts. It’s offaly charm has kept nose-to-tail eating alive among a younger generation of Scots that has largely turned its back on the tripe, liver and kidneys their predecessors enjoyed (or endured).
    

            Carefully prepared, haggis tastes both oaty and meaty; it is dark and crumbly, a little crispy at the edges but still moist; earthy but also savory and spicy; deep-tasting and profoundly warming, the perfect foil for its traditional garnish of floury mashed potatoes and orange bashed turnip.
    

            “It’s like a cuddle for the stomach,” says Nicola Turner, a 35-year-old office administrator from Helensburgh, a town on western Scotland’s Firth of Clyde.
    

            For children of the 1960s and ’70s, like crime novelist Ian Rankin, haggis meals were a choice between the classic meat-and-two-veg plate and the battered and deep-fried, chip-shop iteration loved by both his friend Bourdain and his quintessentially Scottish detective character, Inspector John Rebus. 
    

            Now myriad other treatments have blossomed. 
    

            “I’m pretty sure the first time I dined with AB in Edinburgh we had haggis in filo pastry with a jam-style – maybe blackcurrant – sauce,” Rankin recalled. “He was a big fan of haggis and of chip shops. Rebus will have enjoyed the occasional haggis supper from his local chip shop. He was definitely a fan, as am I.”
    

            “It is all about the spicing and the texture,” says the Scottish food writer, novelist and cook Sue Lawrence, a champion of haggis’ adaptability for use in other dishes. “If you didn’t know what was in it, you wouldn’t think ‘oh that tastes of liver or whatever.’ It is all nicely chopped up and the oatmeal gives it a lovely texture. It could easily be a nice, big mince dish.”
    

Related article
These US restaurants and chefs are James Beard Award finalists


            Lawrence uses haggis as an alternative to beef and pork ragù in lasagna and in her pastilla, a version of the North African dish in which a hand-made haggis from the Isle of Mull substitutes for the traditional poultry or seafood filling. The filo pastry savory is flavored with the spice blend ras el hanout, apricots, chile, orange zest and almonds before being sprinkled with cinnamon and icing sugar.
    

            Such cultural crossovers serve as a reminder that haggis could easily be a dish with nothing specifically Scottish about it at all. Records of similar quick and portable preparations of the fast-perishing innards of sheep and other animals date back to ancient Rome and Greece.
    

            Haggis-like combinations of offal and grains are part of the culinary history of several countries. Spain has chireta, Romania drob and Sweden polsa, while chaudin, or ponce, is a rice and meat-stuffed pig stomach that is a staple of Cajun cooking.
    

            In neighboring England, recipes for “hagese,” “hagws of a schepe,” “haggas” or “haggus” pop up in recipe books published between the 15th and 17th centuries, probably preceding written records north of the border.
    

            Etymological evidence points to the term “haggis” having its roots in Old Norse, suggesting an early version of an oat-and-offal sausage might have arrived in Britain and Ireland on a Viking longboat.
    

            But ever since it was first optioned by the poet Robert Burns in the late 1700s, the haggis backstory has been monopolized by Scotland and the Scots, sometimes mischievously.
    

            It is, according to the kind of lore that Burns engendered, the dish a doughty Highlander would carry with him as he drove cattle through the glens to the markets of the central belt or the perfect picnic for a whisky smuggler plying his illicit trade by moonlight.
    

            From such romantic notions it was a short step to turning the haggis into a wee wild beastie, one with longer legs on one side that was thus condemned to run round and round whichever hill it lived on. In 2003, a poll of American tourists in Scotland found that one in three of them believed they might encounter such a confused creature on a Caledonian vacation.
    

            Bourdain, a native New Yorker, may have qualified as haggis’ biggest admirer since Burns, but his compatriots at the US Department of Agriculture remain unconverted to offal-filled paunch. Haggis imports into the United States were prohibited in 1971 as part of a ban on the consumption of all livestock lungs. Authentic versions of old school haggis remain culinary contraband in the US, as hard to lay your hands on as Cuban cigars.
    

            Across the rest of the world, it’s a different story. According to leading producer Simon Howie, haggis is more widely appreciated and consumed now than it has been since Burns improvised his “Address to a Haggis” for the entertainment of well-to-do Edinburgh acquaintances.
    

                    It’s like a cuddle for the stomach
                

                    Nicola Turner, haggis fan
                

            Firmly tongue-in-cheek, the poem lauds the “Great chieftain o’ the pudding race,” as exactly the kind of unpretentious, hearty fare required to nourish a nation of braveheart warriors.
    

            In comparison to the enfeebling foreign muck enjoyed by the capital’s claret-quaffing elites of the time – the olio, fricassée or ragoût that would “sicken a sow” – Burns urges his readers to wonder at the magical impact of haggis on his fellow sons of Scotland’s soil.
    

            As the English translation of the original Scots language version puts it:
    

But mark the Rustic, haggis-fed/


The trembling earth resounds his tread/


Clap in his ample fist a blade/


He’ll make it whistle/


And legs and arms and heads will cut/


Off like the heads of thistles


            These days synthetic casings have largely replaced stomach but ovine and porcine innards remain at the core of most of the haggis produced in its homeland, said Howie, who estimates that his company Simon Howie Butchers, accounts for around 60% of the roughly two million haggises produced every year.
    

            For Howie, versatility, value for money and convenience explain why this staple of the Scottish larder is thriving. Typically haggis retails in Scotland, which accounts for half of global consumption by volume, for around £6, or $7.70 per kilogram ($3.36/pound). That’s around half the price of less expensive cuts of beef or a third of the price of Scotch lamb while enjoying a fairly similar nutritional and calorific profile.
    

Related article
Best Mexican food: 23 dishes to try 


            “You can give your kids a meal that is not full of things you don’t want to feed them – for a few pounds you can feed three strapping lads,” Howie said.
    

            “From a kitchen perspective, it is very simple because when it leaves our factory it is already cooked. So when you or a restaurant owner gets it into the kitchen all you have to do is heat it up to be piping hot. It couldn’t be more basic: a student with no cooking skills or a Michelin-starred chef do exactly the same thing to put it out on the plate.”
    

            Its texture means haggis can also be usefully deployed in fine dining alongside leaner meat like venison or as a stuffing for poultry and game birds. Its spicy intensity means it is also finding uses in canapés and as a crouton-borne garnish for soups.
    

            Buoyant sales are also underpinned by the increasing consumption of haggis in forms inspired by Scotland’s ethnic minorities.
    

            Glasgow’s Sikh community pioneered haggis pakora in the 1990s and samosas, spring rolls and quesadillas have followed in its wake, often using a vegetarian version of the protein in which the offal is replaced by a mix of vegetables, pulses and mushrooms.
    

            Such dishes are more than culinary twists. They are badges of belonging, and an indication that, two centuries after Burns grabbed it for the nation, haggis is as intimately entwined with Scots identity as ever.
    

            Just ask Ross O’Cinneide, a promising 14-year-old fly-half in the junior section of Stirling County rugby club. 
    

            “Most of my friends and I like haggis,” he says. “Mum makes it for us sometimes after rugby and it’s got a very nice warming feeling. And it’s nice because it’s purely Scottish.”
    
© 2025 Cable News Network. A Warner Bros. Discovery Company. All Rights Reserved.  CNN Sans ™ & © 2016 Cable News Network.",1
"Markets 



Hot Stocks 



Fear & Greed Index 




            Latest Market News 




            Hot Stocks 




            OPEC and its allies’ surprise move to slash oil production will soon be felt at US gas pumps.
    

            The group known as OPEC+ announced Sunday it would cut oil production by more than 1.6 million barrels a day starting in May, running through the end of the year. The news sent both Brent crude futures, the global oil benchmark, and WTI, the US benchmark, up about 6% in trading Monday. 
    

            The production cut announcement also had an immediate impact on gasoline futures, which will be passed onto US drivers much more quickly than the spike in oil prices. RBOB, the most closely watched wholesale gasoline price, was up about 8 cents a gallon, or about 3%, in morning trading.
    

            “I think OPEC is reawakening the inflation monster,” said Tom Kloza, global head of energy analysis for OPIS, which tracks gas prices for AAA. “The White House has to be shocked and major-time pissed. It certainly alters the calculus for a while.”
    

            The national average for US gas prices stood at $3.51, on Monday, according to AAA. Kloza said he could see it getting up to $3.80 to $3.90 in relatively short order thanks to the move by OPEC.
    

            “We’re not going to get back to $5 a gallon. I don’t think we’re even going as high as $4,” he said. But he said by the end of the summer US drivers could be back above year-earlier prices, especially if there is a hurricane or other storms affecting production along the Gulf Coast.
    

            The average US regular gas price a year ago stood at $4.19 a gallon in the wake of Russia’s invasion of Ukraine and the disruption that caused to world’s energy markets. Prices eventually reached a record $5.02 a gallon on June 14, before starting a slow but steady decline over the course of more than three months during which the average price fell every day. The decline was partly driven by the release of oil from the US Strategic Petroleum Reserve, and partly by concerns that there could be a US or global recession that reduced the demand for gasoline. 
    

Related article
Oil prices surge after OPEC+ producers announce surprise cuts


            Even at $3.51, US gas prices were just below the $3.53 average on Feb. 23, 2022, the day before Russia’s invasion of Ukraine.
    

            Kloza said one thing keeping prices from getting anywhere near the record levels of 2022 is that the US plans additional releases from the SPR, and US oil production and refining capacity are both up. But a cut of 1 million barrels a day of oil by OPEC+ will not be easy to make up.
    

            “They have ability to cut production and they seem motivated to do so,” he said.
    
Most stock quote data provided by BATS. US market indices are shown in real time, except for the S&P 500 which is refreshed every two minutes. All times are ET. Factset: FactSet Research Systems Inc. All rights reserved. Chicago Mercantile: Certain market data is the property of Chicago Mercantile Exchange Inc. and its licensors. All rights reserved. Dow Jones: The Dow Jones branded indices are proprietary to and are calculated, distributed and marketed by DJI Opco, a subsidiary of S&P Dow Jones Indices LLC and have been licensed for use to S&P Opco, LLC and CNN. Standard & Poor’s and S&P are registered trademarks of Standard & Poor’s Financial Services LLC and Dow Jones is a registered trademark of Dow Jones Trademark Holdings LLC. All content of the Dow Jones branded indices Copyright S&P Dow Jones Indices LLC and/or its affiliates. Fair value provided by IndexArb.com. Market holidays and trading hours provided by Copp Clark Limited.
© 2025 Cable News Network. A Warner Bros. Discovery Company. All Rights Reserved.  CNN Sans ™ & © 2016 Cable News Network.",1
© 2025 Cable News Network. A Warner Bros. Discovery Company. All Rights Reserved.  CNN Sans ™ & © 2016 Cable News Network.,1
"Markets 



Hot Stocks 



Fear & Greed Index 




            Latest Market News 




            Hot Stocks 




            HSBC’s top brass defended their strategy Monday to frustrated shareholders in the lender’s largest market, as Europe’s biggest bank continued to face calls to be split up.
    

            At an informal shareholder meeting in Hong Kong, Chairman Mark Tucker and CEO Noel Quinn took questions from investors on issues ranging from how the bank was approaching demands for an overhaul of its business to its purchase of Silicon Valley Bank’s UK arm.
    

            In prepared remarks, Tucker and Quinn each reiterated the board’s recommendation that shareholders vote against a resolution on the docket for its annual general meeting in May that would force the bank to come up with a plan to spin off or reorganize its Asian business — the lender’s main source of profits.
    

Related article
HSBC's biggest shareholder reignites debate about breaking up the bank


            Tucker said the board was unanimous in its opposition to the resolution, stating plainly: “It would not be in your interest to split the bank.”
    

            He said the board had previously reviewed a range of options for restructuring the bank, and concluded that such alternatives would “materially destroy value for shareholders,” including dividends.
    

            “Our strategy is working,” Tucker told the room of more than 1,000 shareholders. “Our current strategy is moving dividends up.”
    

            HSBC has been facing calls to separate its Asian business from the rest of the bank over the past year. 
    

            Shareholders in Hong Kong — where HSBC is a mainstay of many retail investors’ portfolios — contend that the London-based lender’s performance has been dragged down by its businesses in other regions.
    

            Quinn addressed those complaints head-on Monday, saying “our profits in Hong Kong and the UK are no longer being dragged down by underperformance elsewhere. The group is performing well as a whole.” 
    

            Pressed later by a shareholder on the issue, Quinn said a breakup of the bank would result in “significant revenue loss”  because much of its business relied on cross-border transactions. 
    

            Investors have also been unhappy with HSBC scrapping its dividend in 2020, at the request of British regulators. They argue that if the lender cordoned off its activities in Asia, it would no longer have to expose Hong Kong shareholders to requests in other jurisdictions.
    

            Christine Fong, a district council member in Hong Kong, said she represented about 500 small shareholders who had been affected by the dividend cancellation.
    

            “Street hawkers, taxi drivers or teachers — they all relied on the dividend to pay for their regular expenses, like mortgage, insurance payments, school fees,” Fong told CNN.
    

            “That’s why, three years ago, what HSBC did upset those small minority shareholders.”
    

            Fong has now joined calls for shareholders to vote in favor of the proposal for the bank to spin off its Asian business, despite the lender bringing back its dividend in 2021, albeit at a lower level.
    

            Ken Lui, an activist shareholder in Hong Kong who put the resolution together, doubled down on his call for support ahead of the meeting Monday.
    

            The resolution will require 75% of votes to be passed in May, but “nothing is impossible,” he told reporters outside the meeting venue.
    

            Lui, who said he personally held a stake worth 100 million Hong Kong dollars ($12.7 million), laid out plans for his team to focus on “targeted outreach to institutional shareholders to present our case and gain their support.” 
    

            His group will also canvass 18 districts of Hong Kong “to tell HSBC shareholders that they finally have a chance to speak for themselves and protect their rights through voting,” he added.
    

            HSBC is also facing pressure from its largest shareholder.
    

            Ping An
            
                (PNGAY), China’s biggest insurer, holds an 8% stake in HSBC and has backed calls for the bank to rethink its structure.
    

            In a series of remarks made public by the Chinese firm last November, Huang Yong, chairman of Ping An’s asset management arm, said “we will support any initiatives including a spinoff that are conducive to improve HSBC’s performance and value.” 
    

            Since then, the insurance giant’s views haven’t changed, according to a person familiar with the matter.
    

            The source told CNN that Ping An has been calling for HSBC to explore a reorganization, with an eye on boosting its valuation and simplifying its regulatory obligations around the globe.
    

            The insurer has not recommended a specific path forward but will support any initiatives, including a spinoff of its Asian business, that could boost its stock performance or value, the person added. Ping An did not immediately respond to a request for comment on how it planned to vote at the upcoming general meeting.
    

            HSBC’s leaders were also asked Monfday why the bank had scooped up the British unit of SVB following the stunning collapse of its parent in the United States. The purchase was made for £1 ($1.20) last month, just days after SVB had folded.
    

            Critics have questioned HSBC’s ability to perform adequate due diligence on SVB UK’s customers because of how quickly the deal came together.
    

            “Did HSBC look into the clients of SVB in detail? Say, the financial statement — whether they can pay back the loan?” said Fong. 
    

Related article
HSBC buys SVB's UK business, ending 'nightmare' for British tech


            Quinn and Tucker defended the acquisition, calling it a good business opportunity that allowed the bank to gain hundreds of innovative startups as customers. They pushed back on the notion that management hadn’t had time to carry out proper due diligence.
    

            Tucker also weighed in on recent tumult in the banking industry, saying he did not expect an “immediate impact” on HSBC.
    

            “After the collapse of a number of smaller regional banks and the takeover of Credit Suisse, the share prices of all banks have been suppressed,” he noted.
    

            But he said he did not believe such developments represented “a systemic risk” to the sector. “I do expect a period of uncertainty” before nerves settle, he added.
    
Most stock quote data provided by BATS. US market indices are shown in real time, except for the S&P 500 which is refreshed every two minutes. All times are ET. Factset: FactSet Research Systems Inc. All rights reserved. Chicago Mercantile: Certain market data is the property of Chicago Mercantile Exchange Inc. and its licensors. All rights reserved. Dow Jones: The Dow Jones branded indices are proprietary to and are calculated, distributed and marketed by DJI Opco, a subsidiary of S&P Dow Jones Indices LLC and have been licensed for use to S&P Opco, LLC and CNN. Standard & Poor’s and S&P are registered trademarks of Standard & Poor’s Financial Services LLC and Dow Jones is a registered trademark of Dow Jones Trademark Holdings LLC. All content of the Dow Jones branded indices Copyright S&P Dow Jones Indices LLC and/or its affiliates. Fair value provided by IndexArb.com. Market holidays and trading hours provided by Copp Clark Limited.
© 2025 Cable News Network. A Warner Bros. Discovery Company. All Rights Reserved.  CNN Sans ™ & © 2016 Cable News Network.",1
"Markets 



Hot Stocks 



Fear & Greed Index 




            Latest Market News 




            Hot Stocks 




            Some VIP Twitter users woke up on Saturday expecting to have lost their coveted blue verification check marks in a previously announced purge by Elon Musk. Instead, Twitter appeared to target a single account from a major publication Musk dislikes and changed the language on its site in a way that obscures why users are verified.
    

            Twitter had said it would “begin winding down” blue checks granted under its old verification system — which emphasized protecting high-profile users at risk of impersonation — on April 1. In order to stay verified, Musk said, users would have to pay $8 per month to join the platform’s Twitter Blue subscription service, which has allowed accounts to pay for verification since December.
    

            Most legacy blue check holders found this weekend that their verification marks had not disappeared, but rather had been appended with a new label reading: “This account is verified because it’s subscribed to Twitter Blue or is a legacy verified account.” The language, which shows up when users click on the check mark, makes it unclear whether verified accounts are actually notable individuals or simply users who have paid to join Twitter Blue. 
    

            But one high-profile account did lose its blue check over the weekend: the main account for the New York Times, which had previously told CNN it would not pay for verification.  
    

Related article
William Shatner is mad he may have to pay to keep his blue Twitter checkmark. Elon Musk says too bad


            After an account that often engages with Musk posted a meme this weekend about the Times declining to pay for verification, Musk responded in a tweet saying, “Oh ok, we’ll take it off then.” Musk then lashed out at the Times — just the latest instance of the billionaire slamming journalists or media outlets — in a series of tweets that claimed the outlet’s coverage is boring and “propaganda.”  
    

            The weekend moves are just the latest example of Twitter creating confusion and whiplash for users over feature changes — and in this case, not just any users, but many of the most high-profile accounts that have long been a key selling point for the platform. It also highlights how Musk often appears to guide decisions about the platform more by whims than by policy. 
    

            Although the New York Times’ main account lost its blue check, its other accounts, such as those for its arts, travel and books content, remained verified. (It’s not clear why the New York Times doesn’t have a gold “organizations” check mark, like accounts for other news outlets, including the Associated Press and the Washington Post.) After its blue check was removed, a spokesperson for the New York Times reiterated to CNN that it does not plan to pay for verification.
    

            Twitter, which laid off most of its public relations staff last fall, did not immediately respond to a request for comment.  
    

            In a separate puzzling move, Twitter’s blue bird logo at the top of the site was replaced on Monday with doge, the meme representing the cryptocurrency dogecoin, which Musk has promoted. The price of dogecoin shot up 20% on Monday.
    

            Musk has been threatening to take away “legacy” blue check marks from users verified under Twitter’s old system since shortly after he bought Twitter last fall.  
    

            In early November, Twitter launched the option for people paying for its Twitter Blue subscription service to receive blue checks. The program was quickly put on pause after being plagued by a wave of celebrity and corporate impersonators, and was relaunched in December. 
    

            Twitter also rolled out a color-coded verification system with differently colored marks for companies and government entities, but Musk continued to say that individual users would eventually have to pay for blue checks. 
    

            In the days leading up to the blue check purge that wasn’t, prominent users such as actor William Shatner and anti-bullying activist Monica Lewinksy pushed back against the idea that, as power users that draw attention to the site, they should have to pay for a feature that keeps them safe from impersonation. 
    

            By muddying the reason accounts are verified, the new label could risk making it easier for people to scam or impersonate high-profile users. Experts in inauthentic behavior have also said it’s not clear that reserving verification for paid users will reduce the number of bots on the site, an issue Musk has raised on and off over the past year.  
    

            Musk, for his part, has previously presented changes to Twitter’s verification system as a way of “treating everyone equally.” 
    

            “There shouldn’t be a different standard for celebrities,” he said in a tweet last week. The paid feature could also drive revenue, which could help Musk, who is on the hook for significant debt after buying Twitter for $44 billion. 
    

            Musk last week also said that starting on April 15, only verified accounts would be recommended in users’ “For You” feeds alongside the accounts they follow. 
    

–CNN’s Oliver Darcy contributed to this report.

Most stock quote data provided by BATS. US market indices are shown in real time, except for the S&P 500 which is refreshed every two minutes. All times are ET. Factset: FactSet Research Systems Inc. All rights reserved. Chicago Mercantile: Certain market data is the property of Chicago Mercantile Exchange Inc. and its licensors. All rights reserved. Dow Jones: The Dow Jones branded indices are proprietary to and are calculated, distributed and marketed by DJI Opco, a subsidiary of S&P Dow Jones Indices LLC and have been licensed for use to S&P Opco, LLC and CNN. Standard & Poor’s and S&P are registered trademarks of Standard & Poor’s Financial Services LLC and Dow Jones is a registered trademark of Dow Jones Trademark Holdings LLC. All content of the Dow Jones branded indices Copyright S&P Dow Jones Indices LLC and/or its affiliates. Fair value provided by IndexArb.com. Market holidays and trading hours provided by Copp Clark Limited.
© 2025 Cable News Network. A Warner Bros. Discovery Company. All Rights Reserved.  CNN Sans ™ & © 2016 Cable News Network.",1
"Finland’s left-wing Prime Minister Sanna Marin conceded defeat on Sunday in the Nordic country’s parliamentary election as the opposition right-wing National Coalition Party (NCP) claimed victory in a tightly fought contest.
    

            The pro-business NCP was expected to win 48 of the 200 seats in parliament, narrowly ahead of the nationalist Finns Party with 46 seats and Marin’s Social Democrats on 43 seats, justice ministry election data showed with all ballots counted.
    

            “We got the biggest mandate,” NCP leader Petteri Orpo said in a speech to followers, vowing to “fix Finland” and its economy.
    

            He will get the first chance at forming a coalition to obtain majority in parliament as Marin’s era as prime minister was expected to end.
    

Related article
Popular abroad, at home Marin faces battle to keep her job


            “We have gained support, we have gained more seats (in parliament). That’s an excellent achievement, even if we did not finish first today,” the prime minister said in a speech to party members.
    

            Marin, 37, the world’s youngest prime minister when she took office in 2019, is considered by fans around the globe as a millennial role model for progressive new leaders, but at home she has faced criticism for her partying and her government’s public spending.
    

Related article
Finnish Prime Minister Sanna Marin takes drug test following partying backlash


            While she remains very popular among many Finns, particularly young moderates, she antagonized some conservatives with lavish spending on pensions and education they see as not frugal enough.
    

            The NCP has led in polls for almost two years although its lead had melted away in recent months. It has promised to curb spending and stop the rise of public debt, which has reached just over 70% of GDP since Marin took office in 2019.
    

            Orpo accused Marin of eroding Finland’s economic resilience at a time when Europe’s energy crisis, driven by Russia’s war in Ukraine, has hit the country hard and the cost of living has increased.
    

            Orpo has said he will negotiate with all groups to obtain a majority in parliament, while Marin has said her Social Democrats may govern with the NCP but will not go into government with the Finns Party.
    

            Marin called the Finns Party “openly racist” during a debate in January – an accusation the nationalist group rejected.
    

            The Finns Party’s main goal is to reduce what leader Riikka Purra has called “harmful” immigration from developing countries outside the European Union. It also calls for austerity policies to curb deficit spending, a stance it shares with the NCP.
    

            Most notable of Marin’s foreign policy actions has been her push, along with President Sauli Niinisto, for the country to make a watershed policy U-turn by seeking NATO membership in the wake of Russia’s invasion of Ukraine.
    

            That process is now almost complete, with Helsinki expected to join within days after all the Western defense alliance’s 30 members approved the accession.
    
© 2025 Cable News Network. A Warner Bros. Discovery Company. All Rights Reserved.  CNN Sans ™ & © 2016 Cable News Network.",1
© 2025 Cable News Network. A Warner Bros. Discovery Company. All Rights Reserved.  CNN Sans ™ & © 2016 Cable News Network.,1
"Sixteen-year-old Summer McIntosh broke the world record for the 400m individual medley at the Canadian swimming trials on Saturday – just days after breaking the world record for the 400m freestyle.
    

            McIntosh finished the 400m individual medley in a time of 4:25.87, breaking the mark set at the 2016 Rio Olympics by Hungarian swimmer Katinka Hosszú with a time of 4:26.36.
    

            The result continues the teenager’s brilliant week after she broke the 400m freestyle world record last Tuesday – breaking defending Olympic champion Ariarne Titmus’ previous record of 3:56.40, which was set last May, in a time of 3:56.08.
    

            Speaking after her latest triumph, McIntosh shared her emotions.
    

            “That’s the first time I really vividly heard the crowd during my race,” McIntosh said, per Reuters.
    

            “It’s amazing to have all my family and friends in the stands, cheering me on. It really helped me in the last 100 meters.”
    

            The Canadian teen made her Olympic debut aged 14 at Tokyo 2020, where she finished fourth in the 200-meter freestyle.
    

            She bagged gold in the 200m butterfly and 400m medley at the world championships in 2022, as well as two golds at the Commonwealth Games in the 200m and 400m medleys. 
    

            She now trains in Florida under coach Brent Arckey with the Sarasota Sharks team.
    
© 2025 Cable News Network. A Warner Bros. Discovery Company. All Rights Reserved.  CNN Sans ™ & © 2016 Cable News Network.",1
"A new study found a moderately higher risk of autism spectrum disorder in children born to pregnant people exposed to tap water with higher levels of lithium, but experts caution that this association does not show a direct link between the two.
    

            About 1 in 36 children in the US is diagnosed with autism spectrum disorder (ASD) each year, according to data from the US Centers for Disease Control and Prevention.
    

            Scientists still don’t know the exact cause of autism, a developmental disorder. Genetics may be a factor, but some have been looking at potential environmental causes, too.
    

Related article
Autism diagnosis has become more common, but pandemic disrupted early detection, CDC says


            Cases may be on the rise, but that is also unclear. One study published this year on cases in the New York-New Jersey area found that autism diagnosis rates tripled among certain age groups between 2000 and 2016. A 2021 report found similar increases in cases, but the CDC says the increased number of cases is most likely linked to more doctors screening for the condition.
    

            Lithium is an alkali metal that can be found naturally in some food and ground water. It’s used in batteries, grease and air conditioners, as well as in the treatment of bipolar disorder and some blood disorders. Its levels in US drinking water are not regulated, according to the US Geological Survey.


            A new study, published Monday in the journal JAMA Pediatrics, found a small association between lithium and autism diagnosis in Denmark, where the researchers say the level of lithium in drinking water is similar to that in American water systems.
    

            The researchers checked a database of people with psychiatric disorders for children born between 2000 and 2013 to find information on 8,842 cases of ASD and 43,864 participants who did not have ASD. They then measured the concentration of lithium in 151 public waterworks that served more than half of the Danish population and mapped out where pregnant people lived in relation.
    

Related article
For many neurodiverse people, 'The Sims' has been a lifelong comfort


            As lithium levels in water increased, there was a modest increased risk of an ASD diagnosis. Specifically, compared with people at the lowest exposure level, those who had the second and third highest exposure during pregnancy had a 24% to 26% higher risk of ASD diagnosed in children. The group with the highest exposure had a 46% higher risk than those at the lowest level of exposure.
    

            The researchers could not tell how much water the pregnant people drank, but they picked Denmark in part because residents there consume some of the lowest amounts of bottled water in Europe.
    

            Experts say it’s important to note that the research can’t show that lithium exposure leads directly to an autism diagnosis.
    

            Further study is required, said study co-author Dr. Beate Ritz, a professor of neurology in the David Geffen School of Medicine at UCLA, and a professor of epidemiology and environmental health at the UCLA Fielding School of Public Health.
    

            “Any drinking water contaminants that may affect the developing human brain deserve intense scrutiny,” Ritz said in a news release. She added that the research would need to be replicated in other countries to look for a similar connection.
    

            The implications of the findings are complex as far as public health policy is concerned, according to an editorial published alongside the study. Lithium levels in water, at concentrations that the study associated with a potential ASD risk, have also been linked with health benefits such as lower rates of hospitalization for psychiatric disorders and suicide.
    

            “If all these of associations are valid, the wisdom of Solomon will be required to develop guidelines for lithium in drinking water that are maximally protective of the entire population,” wrote Dr. David C. Bellinger, a professor of neurology and psychology at Harvard Medical School. “Until the basic biology of ASD is better understood, it will be difficult to distinguish causal from spurious associations.”
    

Related article
'Heartbreaking' delays in autism diagnosis and treatment got even worse during pandemic


            Dr. Max Wiznitzer, director of the Rainbow Autism Center at University Hospitals Rainbow Babies and Children’s Hospital in Cleveland, points to other research on the effects of lithium on pregnant people who take it for mental health disorders. Those studies – which look at people exposed to much higher levels than are found in drinking water – do not show a connection with autism spectrum disorder.
    

            “It’s an interesting association, but causation is definitely not proven,” said Wiznitzer, who was not involved in the new research. “We have to see if there’s a viable and biologically plausible mechanism by which a small amount of lithium in the water supply can somehow do this, yet pharmacologic dosing of lithium in women with bipolar disorder has not been reported to be causing increased risk of ASD.”
    

            Other studies have also suggested connections between ASD and environmental exposures to things like pesticides, air pollution and phthalates. But none of them points to any of these factors as a direct cause of the disorder.
    

Sign up here to get The Results Are In with Dr. Sanjay Gupta every Tuesday from the CNN Health team.
    

            A link between environmental exposure and ASD is hard to prove, Wiznitzer said. With research showing that increased exposure to air pollution raises the risk of giving birth to a child with ASD, for example, he often wonders whether pollution is the determining factor or if it’s just the populations who live in more polluted areas.
    

            “There’s a lot of speculation about about environmental factors, but how many of them are truly causally associated?” Wiznitzer said. “We are bombarded with a variety of environmental stressors in our everyday lives. We have to figure out how to basically safely navigate them, and this is probably not one that’s high on our list.”
    
© 2025 Cable News Network. A Warner Bros. Discovery Company. All Rights Reserved.  CNN Sans ™ & © 2016 Cable News Network.",1
